id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
29,Danpaati,Dan,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.23,-55.900,medium,Village pair (Dan & Danpaati) on Upper Suriname; road access from Afobaka Road junction,Wikipedia (Upper Suriname River),no
30,Awaradam,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.15,-55.980,medium,Village on Upper Suriname; Sentiadam upstream,Wikipedia (Upper Suriname River),no
31,Danta Bai,,,,Saramaka,Suriname,Upper Suriname River (near reservoir),Boven Suriname,4.85,-55.480,medium,Village near Brokopondo Reservoir accessible from Afobaka Road,Wikipedia (Upper Suriname River),no
32,Bakaabooto,Bakaaboto,,,Saramaka,Suriname,Upper Suriname River (near reservoir),Boven Suriname,4.86,-55.470,medium,Village near Brokopondo Reservoir; road access junction,Wikipedia (Upper Suriname River),no
33,Tumaripa,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.13,-55.990,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
34,Lespansi,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.55,-55.660,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
35,Adawai,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.51,-55.690,medium,Village on Upper Suriname River; Malroseekondre listed nearby,Wikipedia (Upper Suriname River),no
36,Isadou,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.6,-55.610,medium,Village on Upper Suriname River; listed near Jawjaw,Wikipedia (Upper Suriname River),no
37,Padalafanti,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.22,-55.940,medium,Village on Upper Suriname River list; Umansanti listed nearby,Wikipedia (Upper Suriname River),no
38,Gunsi,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.42,-55.720,medium,"Village cluster area (Gunsi, Ferulasi, Tang Luku, Anaula, Kninipaati)",Wikipedia (Upper Suriname River),no
39,Stonhuku,,,,Saramaka,Suriname,Upper Suriname River (Gran Rio area),Boven Suriname,3.76,-56.110,medium,Village in Gran Rio / upper area on Upper Suriname list,Wikipedia (Upper Suriname River),no
40,Kumbasula,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.84,-56.090,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
41,Langu,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.96,-56.060,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
42,Kaajapati,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.5,-55.710,medium,Village on Upper Suriname; Salubanga listed nearby,Wikipedia (Upper Suriname River),no
43,Pikinpada,,,,Saramaka,Suriname,Upper Suriname River (lower),Boven Suriname,4.78,-55.500,medium,Village near reservoir / lower upper Suriname,Wikipedia (Upper Suriname River),no
44,Begoon,,,,Saramaka,Suriname,Upper Suriname River (Gran Rio),Boven Suriname,3.72,-56.140,medium,Village in Gran Rio / Pikin Rio area; Ligorio and Moitori listed nearby,Wikipedia (Upper Suriname River),no
45,Gingiston,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.46,-55.700,medium,"Village group area (Gingiston, Pambo Oko, Biudumatu) on Upper Suriname",Wikipedia (Upper Suriname River),no
46,Kampu,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.83,-56.100,medium,Village on Upper Suriname list,Wikipedia (Upper Suriname River),no
47,Bendiwata,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.95,-56.060,medium,Village on Upper Suriname list; Kuututen listed nearby,Wikipedia (Upper Suriname River),no
48,Djemongo,Nazaleti,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.37,-55.760,medium,Village pair on Upper Suriname list,Wikipedia (Upper Suriname River),no
49,Gujaba,Beguba,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.54,-55.660,medium,Village pair on Upper Suriname list,Wikipedia (Upper Suriname River),no
50,Toni,,,,Saramaka,Suriname,Upper Suriname River (rapid/village),Boven Suriname,4.72,-55.530,low,Rapid named after nearby village on Upper Suriname,Wikipedia (Upper Suriname River),no
51,Dahome,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.64,-55.590,low,Village / rapid name on Upper Suriname,Wikipedia (Upper Suriname River),no
52,Santigron,,,,Mixed (Ndyuka/Saramaka/Matawai),Suriname,"Saramacca River (lower, near Paramaribo)",Lelydorp / Wanica,5.677324,-55.340337,high,"Maroon village 30km from Paramaribo on Saramacca River; mixed Ndyuka, Saramaka and Matawai; ~1750 residents; tourist destination",Wikipedia (Santigron),no
53,Bitagron,Bitagro,,,Kwinti,Suriname,Coppename River,Boven Coppename,4.52,-56.790,high,Kwinti granman residence; historically important; partially destroyed 1987 civil war; rebuilt post-war,Wikipedia (Kwinti) / French source,yes
54,Papaichton,Papaïchton,Pompidouville,Boniville,Aluku,French Guiana,Lawa River,Papaïchton commune,3.8070,-54.1495,high,Capital/granman seat of Aluku; commune seat; founded 1895; previously called Boniville; renamed Pompidouville 1971,Wikipedia (Papaichton),no
55,Maripasoula,,,,Aluku / Wayana,French Guiana,Lawa / Maroni River,Maripasoula commune,3.635,-54.036,high,Largest commune in France by area; administrative hub; airport; mainly Aluku and Wayana,Wikipedia (Maripasoula),no
56,Apatou,,,,Aluku / Ndyuka / mixed,French Guiana,Maroni River (lower),Apatou commune,5.519,-54.341,high,"Founded 1882 as Moutendé; renamed after Captain Apatou; mixed Aluku, Paramaka, Ndyuka, Saramaka; road opened 2010",Wikipedia (Apatou),no
57,Grand-Santi,Grand Santi,,,Ndyuka / Aluku / mixed,French Guiana,Maroni River,Grand-Santi commune,4.253,-54.395,high,Commune; formed from scission of Papaïchton 1993; largely Ndyuka and mixed bushinengue,Wikipedia / Cultural Survival,no
58,Kormontibo,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.804,-54.141,medium,Traditional Aluku village; one of the villages founded after 1841 settlement on Lawa River,Wikipedia (Aluku),no
59,Assissi,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.480,-54.060,medium,Traditional Aluku village; one of the original Lawa River settlements,Wikipedia (Aluku),no
60,Loca,Loka,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.520,-54.055,medium,Hamlet in commune of Papaïchton; traditional Aluku settlement,Wikipedia (Papaichton),no
61,Tabiki,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.510,-54.048,medium,Traditional Aluku village near Papaïchton,Wikipedia (Aluku),no
62,Nouveau Wakapou,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.674389,-54.075806,high,Traditional Aluku village near Papaïchton,Wikipedia (Aluku),no
63,Agoodé,Boniville (old),,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.8339,-54.1855,high,Traditional Aluku village; once called Boniville; near Papaïchton; capital before Papaïchton,Wikipedia (Aluku),no
64,Pobiansi,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.470,-54.070,medium,One of earliest Aluku villages on Lawa River after 1841 settlement,Wikipedia (Aluku),no
65,Puumofu,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.460,-54.080,medium,One of earliest Aluku villages on Lawa River,Wikipedia (Aluku),no
66,Ingi Pule Chton,,,,Aluku,French Guiana,Lawa River / Beïman creek,Maripasoula commune,3.550,-54.030,low,Settlement near historical Dikan lo (Ndyuka) area; contemporary Aluku settlement,French Guiana Maroons report,no
67,Anapaïké,Lawa (old name),,,Aluku / Wayana,French Guiana,Upper Lawa / Maroni headwaters,Maripasoula commune,3.300,-53.950,low,Upper Lawa village; historically first called Cottica then Lawa by Wayana; now Anapaïké,French journal (ethnoecologie),no
68,Moitaki,Moitaki,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.895,-55.205,high,Ndyuka village near Gran Olo rapids; birthplace of gaanman Gazon Matodya; between Yawsa and Puketi; electricity project underway,Wikipedia (Moitaki),no
69,Yawsa,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.88,-55.220,medium,Ndyuka village on Tapanahoni upstream of Moitaki and Gran Olo rapids,Wikipedia (Moitaki),no
70,Poeloegoedoe,Poeloegoeoe,,,Ndyuka,Suriname,Tapanahoni / Lawa confluence,Tapanahony,4.08,-54.980,high,Ndyuka village near confluence of Tapanahoni and Lawa rivers; named after the Poeloegoedoe Falls,Wikipedia (Poeloegoedoe),no
71,Asidonhopo,Asidenhopo,,,Saramaka,Suriname,Pikin Rio (Upper Suriname tributary),Boven Suriname,4.00139,-55.46972,high,Current residence of the Saramaka paramount chief (gaanman); on Pikin Rio,Wikipedia (Asidonhopo) / Mapcarta,no
72,Aurora,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.7,-55.540,high,Largest village of the Saramaka Maroons; health centre in adjacent village Laduani,Wikipedia (Aurora Suriname),no
73,Nieuw Aurora,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.695,-55.542,high,Extension of Aurora; school achieved 100% graduation rate 2017,Wikipedia (Aurora Suriname),no
74,Laduani,Ladoani,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.69,-55.545,high,Small village adjacent to Aurora; location of Aurora health centre and Laduani Airstrip; medical post,Wikipedia (Aurora Suriname) / Boven Suriname,yes
75,Pikin Slee,Pikienslee,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.65,-55.580,high,Second largest Saramaka village (~3000-4000 people); home of Saamaka Maroon Museum; eco-resort Pasensie,Wikipedia (Pikin Slee) / multiple,no
76,Botopasi,Boto-Pasi,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.655,-55.578,high,Saramaka village ~3.5km south of Pikin Slee; ~740 people (2001); school clinic church,Wikipedia (Pikin Slee / Mapcarta),yes
77,Kajana,Cajana,Cayana,Kayana,Saramaka,Suriname,Gran Rio (Upper Suriname headwater),Boven Suriname,3.90056,-55.57250,high,Saramaka village on Gran Rio; population ~200; first-aid medical centre; primary school; Radio Thijs,Wikipedia (Kajana),yes
78,Kwakoegron,Kwakoe,,,Matawai,Suriname,Saramacca River (lower),Kwakoegron,5.2,-55.900,high,Matawai village and resort; population 263 (2012); school clinic holiday resort; MZ poli confirmed; patient base ~260,Wikipedia (Kwakoegron),yes
79,Poesoegroenoe,Pusugrunu,Psugrunu,Poesoegoenoe,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.383,-56.333,high,Residence of Matawai granman; medical post; airstrip; road opened 2017,Wikipedia (Poesoegroenoe),yes
80,Nieuw Jacobkondre,Njoeng Jacob Kondre,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.35,-56.370,high,Main administrative village of Boven Saramacca resort; road access; Njoeng Jacob Kondre Airstrip,Wikipedia (Boven Saramacca),yes
81,Pakka-Pakka,Pakkapakka,Pakkapakka 1 / 2,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.3,-56.400,medium,Matawai village; founded 1860s; two sides: right bank and left bank,Wikipedia (Pakkapakka),no
82,Stonkoe,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.31,-56.390,low,Matawai village near Pakka-Pakka,Wikipedia (Pakkapakka),no
83,Makajapingo,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.32,-56.380,low,Matawai village; Catholic; ~3.2nm from Stonkoe and Tabrikiekondre,Wikipedia (Makajapingo),no
84,Moetoetoetabriki,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.29,-56.410,low,Matawai village; ~7nm from Pakka-Pakka,Wikipedia (Makajapingo),no
85,Heidoti,,,,Kwinti,Suriname,Saramacca River (upper),Boven Saramacca,4.28,-56.420,low,Kwinti village on Saramacca River; also listed in Joshua Project Kwinti data; near Pakka-Pakka,Wikipedia (Pakkapakka) / Joshua Project,no
86,Asoenoebo,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.305,-56.395,low,Matawai village; ~1nm from Pakka-Pakka,Wikipedia (Pakkapakka),no
87,Tabrikiekondre,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.315,-56.385,low,Matawai village; ~3.2nm from Makajapingo,Wikipedia (Makajapingo),no
88,Warnakomoponafaja,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.318,-56.383,low,Matawai village; ~2nm from Makajapingo,Wikipedia (Makajapingo),no
89,Ebbatop,,,,Matawai,Suriname,Saramacca River (upper),Boven Saramacca,4.36,-56.360,medium,Matawai village; ecotourism promoted,Wikipedia (Matawai people),no
90,Saramaka quarter Kourou,,,,Saramaka,French Guiana,Coastal FG — Kourou,Kourou commune,5.167,-52.636,high,Saramaka neighbourhood of Kourou; arrived 1967 to build Guiana Space Centre; ~300 houses,Wikipedia (Saramaka French Guiana),no
91,Witagron,Bitagron,,,Kwinti,Suriname,Coppename River,Boven Coppename,5.163,-56.074,high,Kwinti village; formerly Bitagron; residence of Kwinti head captain; MZ health centre,Wikipedia (Witagron/Bitagron),yes
92,Kaaimanston,,,,Kwinti,Suriname,Coppename River,Boven Coppename,5.140,-56.090,high,Kwinti village near Witagron; partially destroyed 1987 Interior War; Donderskamp Airstrip,Wikipedia (Kwinti people),yes
93,Nieuw-Koffiekamp,Nieuw Koffiekamp,,,Ndyuka,Suriname,Suriname River (lower reservoir area),Sarakreek,5.060,-55.020,high,Transmigration Ndyuka village founded 1964; pop. ~300-500; school; medical centre; MZ poli confirmed; patient base ~437,Wikipedia (Nieuw-Koffiekamp),yes
94,Lebidotie,Lebidoti,,,Ndyuka,Suriname,Suriname River (lower reservoir),Sarakreek,4.87083,-54.97000,high,Ndyuka transmigration village; pop. ~1000; relocated 1964; MZ poli confirmed; patient base ~1630,Wikipedia (Lebidoti),yes
95,Nieuw-Lombe,Nieuw Lombe,Nyun-Lombe,Njun Lombe,Saramaka,Suriname,Suriname River (lower reservoir),Klaaskreek,5.070,-55.000,high,Saramaka transmigration village; Klaaskreek resort; MZ poli confirmed; patient base ~905; no running water since 2012; school,Wikipedia (Nieuw-Lombe Dutch),yes
96,Agaigoni,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,5.050,-55.020,medium,Ndyuka village; same as or adjacent to Malobi; school; electricity; MZ clinic confirmed,Wikipedia (Medische Zending) — MZ map,yes
97,Apoema,,,,Ndyuka,Suriname,Cottica River area / Marowijne,Marowijne / Wanhatti,5.350,-54.500,medium,Ndyuka village with MZ health post on Cottica or lower Marowijne,Wikipedia (Medische Zending) — MZ map,yes
98,Balingsoela,,,,Ndyuka / Paramaka,Suriname,Marowijne / Lawa River,Pamacca / Tapanahony border,4.200,-54.600,medium,Eastern Maroon village with MZ health post; patient base ~835,Wikipedia (Medische Zending) — MZ map,yes
99,Kambaloa,Kambaloea,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.800,-55.700,medium,Saramaka village with MZ health post,Wikipedia (Medische Zending) — MZ map,yes
100,Karmel,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.850,-55.650,medium,Saramaka village with MZ health post,Wikipedia (Medische Zending) — MZ map,yes
101,Phedra,,,,Ndyuka / Paramaka,Suriname,Marowijne / Lawa River area,Pamacca / Marowijne,4.100,-54.650,medium,Eastern Maroon village with MZ health post; patient base ~105,Wikipedia (Medische Zending) — MZ map,yes
102,Soekoenale,Sukunale,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.600,-55.520,medium,Saramaka village with MZ health post; served by Ladoani clinic,Wikipedia (Medische Zending) / MZ news article,yes
103,Tapoeripa,,,,Ndyuka / Saramaka,Suriname,Suriname River (reservoir transition zone),Brokopondo / Sarakreek,5.080,-55.040,medium,Interior village with MZ health post,Wikipedia (Medische Zending) — MZ map,yes
104,Kawemhakan,Anapaikë,,,Wayana (Indigenous),Suriname,Lawa River,Tapanahony,3.140,-54.040,high,Wayana (Amerindian — not Maroon) village; MZ clinic; Lawa Anapaike Airstrip; school,Wikipedia (Kawemhakan),yes
105,Goejaba,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.610,-55.510,medium,Saramaka village 8km northeast of Pikin Slee; served by Ladoani clinic,Mapcarta (Pikin Slee) / MZ news,yes
106,Jaw Jaw,Jawjaw,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.550,-55.600,medium,Saramaka village; MZ clinic confirmed,Wikipedia (Medische Zending) / MZ news,yes
107,Brownsweg,,,,Saramaka / mixed,Suriname,Lower Suriname River / Brokopondo road,Brownsweg,5.003,-55.175,high,Town at end of paved Afobaka road; MZ health post; patient base ~4170,Wikipedia (Boven Suriname / Pokigron),yes
108,Pokigron,,,,Saramaka,Suriname,Upper Suriname River (northern end),Boven Suriname,4.491111,-55.365000,high,Main village at southern end of paved road; gateway to Upper Suriname River villages; MZ health post,Wikipedia (Boven Suriname / Pikin Slee),yes
109,Commisariskondre,,,,Matawai,Suriname,Saramacca River (lower),Kwakoegron,5.205,-55.905,low,Matawai village; captain of Kwakoegron resort resides here,Planbureau Suriname Table 3 Brokopondo 2013,no
110,Koinakondre,,,,Ndyuka,Suriname,Suriname River / Sarakreek area,Marchallkreek,5.1,-55.050,low,Ndyuka village in Marchallkreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
111,Rama,,,,Ndyuka,Suriname,Suriname River / Sarakreek area,Marchallkreek,5.09,-55.060,low,Ndyuka village in Marchallkreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
112,Marchallkreek,,,,Ndyuka,Suriname,Marchallkreek tributary,Marchallkreek,5.08,-55.070,medium,Ndyuka main village of Marchallkreek resort; MZ poli confirmed; patient base ~195,Planbureau Suriname Table 3 Brokopondo 2013,yes
113,Klaaskreek,,,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.181,-55.076,high,Saramaka transmigration village; MZ health post; patient base ~1700,Planbureau Suriname Table 3 Brokopondo 2013,yes
115,Mujékiki,Mujekiki,,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.075,-55.010,low,Saramaka transmigration village in Klaaskreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
116,Kapasikélé,Kapasikelé,Kapasikelé,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.078,-55.015,low,Saramaka transmigration village in Klaaskreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
117,Asigron,,,,Saramaka,Suriname,Suriname River reservoir (lower),Centrum,5.06,-55.030,low,Saramaka transmigration village; Centrum resort Brokopondo,Planbureau Suriname Table 3 Brokopondo 2013,no
118,Boslanti (Saramaka),Boslanti,,,Saramaka,Suriname,Suriname River reservoir (lower),Centrum,5.05,-55.040,low,Saramaka transmigration village; Centrum resort Brokopondo,Planbureau Suriname Table 3 Brokopondo 2013,no
119,Drepada,,,,Saramaka,Suriname,Suriname River reservoir (lower),Centrum,5.04,-55.050,low,Saramaka transmigration village; Centrum resort Brokopondo,Planbureau Suriname Table 3 Brokopondo 2013,no
120,Compagniekreek,,,,Ndyuka,Suriname,Cottica / Commewijne river system,Baling Soela,5.3,-54.700,low,Ndyuka village in Baling Soela resort,Planbureau Suriname Table 3 Brokopondo 2013,no
121,Wakibasoe 1,Wakibasoe,,,Saramaka,Suriname,Lower Suriname River / Brokopondo area,Brownsweg,5.01,-55.180,low,Saramaka transmigration village; one of three Wakibasoe settlements,Planbureau Suriname Table 3 Brokopondo 2013,no
122,Wakibasoe 2,Wakibasoe,,,Saramaka,Suriname,Lower Suriname River / Brokopondo area,Brownsweg,5.012,-55.182,low,Saramaka transmigration village; one of three Wakibasoe settlements,Planbureau Suriname Table 3 Brokopondo 2013,no
123,Wakibasoe 3,Wakibasoe,,,Saramaka,Suriname,Lower Suriname River / Brokopondo area,Brownsweg,5.014,-55.184,low,Saramaka transmigration village; one of three Wakibasoe settlements,Planbureau Suriname Table 3 Brokopondo 2013,no
124,Ganze,Ganzee,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.02,-55.170,low,Saramaka village near Brownsweg; original Ganzee submerged 1964,Planbureau Suriname Table 3 Brokopondo 2013,no
125,Bierhoedoematoe,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.018,-55.175,low,Saramaka village near Brownsweg,Planbureau Suriname Table 3 Brokopondo 2013,no
126,Djankakondre,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.022,-55.168,low,Saramaka village near Brownsweg,Planbureau Suriname Table 3 Brokopondo 2013,no
127,Kadjoe,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.016,-55.172,low,Saramaka village near Brownsweg,Planbureau Suriname Table 3 Brokopondo 2013,no
128,Makambi,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.024,-55.166,low,Saramaka village near Brownsweg,Planbureau Suriname Table 3 Brokopondo 2013,no
129,Koffiekamp,,,,Saramaka,Suriname,Sara Creek (submerged),Brownsweg / Sarakreek,5.03,-55.100,low,Original Saramaka village submerged by Brokopondo Reservoir 1964,Planbureau Suriname Table 3 Brokopondo 2013,no
130,Baikoetoe,Baikutu,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.045,-55.025,low,Ndyuka transmigration village; Sarakreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
131,Bakoe,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.048,-55.022,low,Ndyuka transmigration village; Sarakreek resort; near Lebidoti,Planbureau Suriname Table 3 Brokopondo 2013,no
132,Banavookonde,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.042,-55.028,low,Ndyuka transmigration village; Sarakreek resort,Planbureau Suriname Table 3 Brokopondo 2013,no
